file_name,number_leaves,nodes_number,execution_time_kolo,[BRANCH-LENGTH]-ffac_best_correction_factor,[BRANCH-LENGTH]-execution_time_radial_layout,[BRANCH-LENGTH]-execution_time_corrections_adj_based,[BRANCH-LENGTH]-execution_time_corrections_fixed_based,[BRANCH-LENGTH]-unordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_fixed_angle_correction_stress,[BRANCH-LENGTH]-ordered_tree_adj_based_corrections_stress,[LEAF-COUNT]-nodes_number,[LEAF-COUNT]-execution_time_kolo,[LEAF-COUNT]-ffac_best_correction_factor,[LEAF-COUNT]-execution_time_radial_layout,[LEAF-COUNT]-execution_time_corrections_adj_based,[LEAF-COUNT]-execution_time_corrections_fixed_based,[LEAF-COUNT]-unordered_tree_stress,[LEAF-COUNT]-ordered_tree_stress,[LEAF-COUNT]-ordered_tree_fixed_angle_correction_stress,[LEAF-COUNT]-ordered_tree_adj_based_corrections_stress
S143710,15,29,0.0016660690307617188,1.9999999999999998,0.005655527114868164,0.02752232551574707,0.19032979011535645,0.4321009524996288,0.45767880201550937,0.45767880201550937,0.43420533677942524,29,0.0015637874603271484,1.9999999999999998,0.005186319351196289,0.02548813819885254,0.1737830638885498,0.17157813088992535,0.1671005869476978,0.16710058694769767,0.16637384823868656
S142831,391,781,7.949904441833496,3.1999999999999993,4.629853963851929,5.1322362422943115,166.28575706481934,0.682144094932304,0.6948451039782357,0.6709607613386934,0.6948295066120161,781,7.922200679779053,2.1999999999999997,4.531627416610718,5.134827375411987,163.89099740982056,0.4923016340298712,0.4972003916123348,0.49717277650187214,0.4968354827086453
S111261,14,27,0.0013761520385742188,50.0,0.004462718963623047,0.023384809494018555,0.15186524391174316,0.7405271813004519,0.740527181300452,0.711301100277588,0.7139876040803436,27,0.001398324966430664,1.9999999999999998,0.004408121109008789,0.02335071563720703,0.1502225399017334,0.21369888702666984,0.21327994132771347,0.21327994132771338,0.21041248790423586
S151470,53,105,0.027951717376708984,52.80000000000004,0.0711374282836914,0.14483022689819336,2.6240904331207275,0.9892718116493335,0.9712444783643104,0.9400542990488773,0.9646583095865016,105,0.028793811798095703,1.9999999999999998,0.07367229461669922,0.14938998222351074,2.5701725482940674,0.2859724173621235,0.28550396656074695,0.285503966560747,0.2845598746396236
S105200,298,595,3.7490334510803223,2.1999999999999997,2.887828826904297,3.237274646759033,101.83344554901123,0.6988111919156664,0.7090807772654919,0.7070358482273049,0.7079406580000206,595,3.888157606124878,1.9999999999999998,2.890472173690796,3.1966748237609863,99.61377286911011,0.6303459331115836,0.6313774019812681,0.6313774019812679,0.6305800693163331
S149710,62,122,0.10660362243652344,1.9999999999999998,0.09580707550048828,0.17997479438781738,3.5478687286376953,0.54683207483284,0.5061192219585678,0.5061192219585678,0.5066342653731738,122,0.1031792163848877,1.9999999999999998,0.09458398818969727,0.17838215827941895,3.5084781646728516,0.4153533996589724,0.400096506134914,0.4000965061349141,0.3989520849079869
S127303,71,141,0.06965923309326172,2.1999999999999997,0.13694524765014648,0.24697446823120117,5.2763636112213135,0.4888028047737091,0.49651768119674117,0.49475237422350765,0.4965269886728027,141,0.06374526023864746,1.9999999999999998,0.13263463973999023,0.23181867599487305,5.073152780532837,0.44647248455696814,0.4395071572414436,0.4395071572414435,0.4393413918458309
S115640,45,86,0.022647380828857422,2.9999999999999996,0.05384707450866699,0.11973142623901367,1.7525548934936523,0.5211231759384142,0.5376277986022934,0.5187232863975619,0.5361034821486766,86,0.020377635955810547,1.9999999999999998,0.04884743690490723,0.11316442489624023,1.8171167373657227,0.39302728831792616,0.391538890742849,0.391538890742849,0.3904403188468145
S159552,31,61,0.007073163986206055,1.4,0.024522781372070312,0.07446670532226562,0.8607962131500244,1.087891463403588,1.103137965675002,1.0869801494544074,1.1038811951847585,61,0.00764918327331543,1.9999999999999998,0.02416205406188965,0.06864380836486816,0.831977367401123,0.3377624926971962,0.3409331346275382,0.3409331346275382,0.3369853486893874
S114080,40,74,0.0157470703125,2.3999999999999995,0.037256479263305664,0.09487175941467285,1.3346583843231201,0.5471321690329708,0.5275288177492605,0.5218092033760058,0.5263933678727399,74,0.016292810440063477,1.9999999999999998,0.03675055503845215,0.09373664855957031,1.260169506072998,0.3629177016359183,0.36012971724266246,0.3601297172426627,0.35744036101977666
