file_name,avg_branch_factor,number_leaves,nodes_number,execution_time_kolo,[BRANCH-LENGTH]-ffac_best_correction_factor,[BRANCH-LENGTH]-execution_time_radial_layout,[BRANCH-LENGTH]-execution_time_corrections_adj_based,[BRANCH-LENGTH]-execution_time_corrections_fixed_based,[BRANCH-LENGTH]-unordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_fixed_angle_correction_stress,[BRANCH-LENGTH]-ordered_tree_adj_based_corrections_stress,[LEAF-COUNT]-nodes_number,[LEAF-COUNT]-execution_time_kolo,[LEAF-COUNT]-ffac_best_correction_factor,[LEAF-COUNT]-execution_time_radial_layout,[LEAF-COUNT]-execution_time_corrections_adj_based,[LEAF-COUNT]-execution_time_corrections_fixed_based,[LEAF-COUNT]-unordered_tree_stress,[LEAF-COUNT]-ordered_tree_stress,[LEAF-COUNT]-ordered_tree_fixed_angle_correction_stress,[LEAF-COUNT]-ordered_tree_adj_based_corrections_stress
S143710,2.0,15,29,0.0016660690307617,2.0,0.0056555271148681,0.027522325515747,0.1903297901153564,0.4321009524996288,0.4576788020155093,0.4576788020155093,0.4342053367794252,29,0.0015637874603271,2.0,0.0051863193511962,0.0254881381988525,0.1737830638885498,0.1715781308899253,0.1671005869476978,0.1671005869476976,0.1663738482386865
S142831,2.0,391,781,7.949904441833496,3.1999999999999997,4.629853963851929,5.132236242294312,166.28575706481934,0.682144094932304,0.6948451039782357,0.6709607613386934,0.6948295066120161,781,7.922200679779053,2.2,4.531627416610718,5.134827375411987,163.89099740982056,0.4923016340298712,0.4972003916123348,0.4971727765018721,0.4968354827086453
S111261,2.0,14,27,0.0013761520385742,50.0,0.004462718963623,0.0233848094940185,0.1518652439117431,0.7405271813004519,0.740527181300452,0.711301100277588,0.7139876040803436,27,0.0013983249664306,2.0,0.0044081211090087,0.023350715637207,0.1502225399017334,0.2136988870266698,0.2132799413277134,0.2132799413277133,0.2104124879042358
S151470,2.0,53,105,0.0279517173767089,52.80000000000004,0.0711374282836914,0.1448302268981933,2.6240904331207275,0.9892718116493336,0.9712444783643104,0.9400542990488772,0.9646583095865016,105,0.0287938117980957,2.0,0.0736722946166992,0.1493899822235107,2.5701725482940674,0.2859724173621235,0.2855039665607469,0.285503966560747,0.2845598746396236
S105200,2.0,298,595,3.749033451080322,2.2,2.887828826904297,3.237274646759033,101.83344554901124,0.6988111919156664,0.7090807772654919,0.7070358482273049,0.7079406580000206,595,3.888157606124878,2.0,2.890472173690796,3.1966748237609863,99.61377286911012,0.6303459331115836,0.6313774019812681,0.6313774019812679,0.6305800693163331
S149710,2.0166666666666666,62,122,0.1066036224365234,2.0,0.0958070755004882,0.1799747943878173,3.5478687286376958,0.54683207483284,0.5061192219585678,0.5061192219585678,0.5066342653731738,122,0.1031792163848877,2.0,0.0945839881896972,0.1783821582794189,3.508478164672852,0.4153533996589724,0.400096506134914,0.4000965061349141,0.3989520849079869
S127303,2.0,71,141,0.0696592330932617,2.2,0.1369452476501464,0.2469744682312011,5.2763636112213135,0.4888028047737091,0.4965176811967411,0.4947523742235076,0.4965269886728027,141,0.0637452602386474,2.0,0.1326346397399902,0.231818675994873,5.073152780532837,0.4464724845569681,0.4395071572414436,0.4395071572414435,0.4393413918458309
S115640,2.073170731707317,45,86,0.0226473808288574,3.0,0.0538470745086669,0.1197314262390136,1.7525548934936523,0.5211231759384142,0.5376277986022934,0.5187232863975619,0.5361034821486766,86,0.0203776359558105,2.0,0.0488474369049072,0.1131644248962402,1.8171167373657229,0.3930272883179261,0.391538890742849,0.391538890742849,0.3904403188468145
S159552,2.0,31,61,0.007073163986206,1.4,0.0245227813720703,0.0744667053222656,0.8607962131500244,1.087891463403588,1.103137965675002,1.0869801494544074,1.1038811951847585,61,0.0076491832733154,2.0,0.0241620540618896,0.0686438083648681,0.831977367401123,0.3377624926971962,0.3409331346275382,0.3409331346275382,0.3369853486893874
S114080,2.1470588235294117,40,74,0.0157470703125,2.3999999999999995,0.0372564792633056,0.0948717594146728,1.33465838432312,0.5471321690329708,0.5275288177492605,0.5218092033760058,0.5263933678727399,74,0.0162928104400634,2.0,0.0367505550384521,0.0937366485595703,1.260169506072998,0.3629177016359183,0.3601297172426624,0.3601297172426627,0.3574403610197766
S109439,2.0344827586206895,31,60,0.0173594951629638,52.80000000000004,0.0225992202758789,0.0644507408142089,0.7941849231719971,0.5006311363231827,0.5140632679515329,0.4661496302721181,0.5118984460808103,60,0.0175533294677734,2.2,0.0223095417022705,0.0637345314025878,0.8022499084472656,0.186312705137,0.1662299953241024,0.1659076314063836,0.1666916886293496
S111263,2.0,20,39,0.0026378631591796,4.799999999999999,0.0092837810516357,0.0363237857818603,0.3208968639373779,0.7348593009395323,0.6852334651602902,0.6711496330295599,0.6764177898721089,39,0.002713918685913,2.0,0.0090613365173339,0.0360052585601806,0.3184075355529785,0.1928872867979609,0.1915785352530294,0.1915785352530294,0.1904902757928012
S142830,2.0,326,651,4.591078758239746,1.6,3.2200286388397217,3.669896364212036,118.22269940376282,0.7628686738686958,0.8032398107310148,0.7983186934169887,0.8031421645387541,651,4.589506149291992,1.7999999999999998,3.0810539722442627,3.577996730804444,115.05480575561523,0.517547608435715,0.5181294173899337,0.5173422130899498,0.5177184661571014
S104010,2.024390243902439,43,84,0.0430052280426025,2.2,0.0451107025146484,0.1151578426361084,1.6817231178283691,0.756333275004966,0.8585178463486797,0.8582680344741571,0.8584306006356505,84,0.0405383110046386,2.0,0.052666425704956,0.1113898754119873,1.72534441947937,0.3536898337560326,0.3543246815285129,0.354324681528513,0.3536544871689351
S114350,2.013888888888889,74,146,0.1810438632965088,2.3999999999999995,0.1494836807250976,0.2604818344116211,5.345724105834961,1.4122252488244844,1.4096824621280435,1.409439820338921,1.3966581062304622,146,0.1819233894348144,2.0,0.1460657119750976,0.2419872283935547,5.098262071609497,0.3246477884691969,0.3290485016775184,0.3290485016775183,0.3287079982958956
S124310,2.0,34,67,0.0100102424621582,2.0,0.0306653976440429,0.0846059322357177,1.1259877681732178,0.5174496736793607,0.5147582094562336,0.5147582094562337,0.5128775629032942,67,0.0103373527526855,2.0,0.0301582813262939,0.0803668498992919,1.0700640678405762,0.3733876252834556,0.3739493110435342,0.3739493110435341,0.3718029267291493
S121590,2.0681818181818183,48,92,0.0283408164978027,1.6,0.0567982196807861,0.1214396953582763,2.2429208755493164,0.7614690667698053,0.7612580258804048,0.7564751449417424,0.757274084284268,92,0.0273332595825195,2.0,0.054387092590332,0.1208741664886474,1.9278464317321775,0.377353618210404,0.3739822157874004,0.3739822157874003,0.3729948728043739
S123340,2.0,45,89,0.0204629898071289,2.0,0.058577537536621,0.1187515258789062,2.01711368560791,0.4409983967165049,0.433859840719883,0.433859840719883,0.4329510286290859,89,0.017937421798706,2.0,0.0495405197143554,0.1116278171539306,2.1236109733581543,0.4188688304819364,0.4174598732790668,0.417459873279067,0.4163834717762528
S112742,2.0064935064935066,156,310,1.4999516010284424,3.1999999999999997,0.6829490661621094,0.8783583641052246,25.170159816741943,1.0215385959680283,1.0105611079649874,0.999367926310752,1.0107690096884558,310,1.6570475101470947,2.0,0.6654937267303467,0.93562912940979,25.83405065536499,0.603194147225833,0.6044925931192803,0.6044925931192803,0.6041327103496197
S149122,2.0,156,311,0.5887947082519531,2.2,0.7075891494750977,0.8828623294830322,24.80088806152344,0.7194705175463025,0.7595309245192253,0.7588523549469325,0.759428327757685,311,0.5510060787200928,2.0,0.6514151096343994,0.9106018543243408,24.201375484466556,0.5440872598076171,0.5430240543785908,0.5430240543785908,0.5426079146901652
S126801,2.0,30,59,0.0068109035491943,2.2,0.0228002071380615,0.0660402774810791,0.7871904373168945,0.5424759960759138,0.5395539468231106,0.5368848488800332,0.538996526487771,59,0.0070137977600097,2.0,0.024810791015625,0.0713138580322265,0.8000054359436035,0.3842797231091486,0.3838493494897938,0.3838493494897939,0.3821855225721055
S127302,2.017857142857143,58,114,0.0424036979675293,2.2,0.1037251949310302,0.1871488094329834,3.173473358154297,0.4733232856570059,0.4734851840457678,0.4719983767076932,0.471709024035944,114,0.0389294624328613,2.0,0.0849997997283935,0.1657378673553466,3.249274492263794,0.447661942840399,0.4450162916174209,0.4450162916174209,0.4437145192291091
S109680,2.111111111111111,21,39,0.0042307376861572,2.2,0.0092685222625732,0.0377647876739501,0.3186442852020263,0.3885050125034679,0.3857749163642127,0.3844863125204287,0.3847447113853313,39,0.0041112899780273,2.0,0.0088992118835449,0.0365893840789794,0.3142156600952148,0.3586107799008943,0.3583116717831816,0.3583116717831816,0.3603795154648351
S152771,2.0,24,47,0.0040891170501708,4.199999999999999,0.0136001110076904,0.0463259220123291,0.4723505973815918,0.6197300800330293,0.9269354370635134,0.8479409156550085,0.9162633501459972,47,0.0040721893310546,1.7999999999999998,0.0131781101226806,0.0450971126556396,0.48689866065979,0.3281027092798956,0.3283773380752504,0.326819920964465,0.3203817547198331
S109435,2.0238095238095237,44,86,0.0415394306182861,1.2,0.0471985340118408,0.1059730052947998,1.6557579040527344,0.7668442224244874,0.7931740763832752,0.7851048011271196,0.7960031529696424,86,0.0415539741516113,1.7999999999999998,0.0464603900909423,0.1037778854370117,1.6180615425109863,0.261022076792939,0.2580581603752576,0.256642208281975,0.2575246924435931
S124930,2.0,56,111,0.0396564006805419,1.7999999999999998,0.0864179134368896,0.174966812133789,3.209721326828003,0.4701435519322074,0.471189331145602,0.4704827215431216,0.471581757622881,111,0.0372974872589111,2.0,0.0983374118804931,0.1769685745239257,3.1960294246673584,0.3862478438735283,0.3841885821748851,0.3841885821748852,0.3834726155763693
S1249311,2.0,74,147,0.0696871280670166,3.6,0.1465671062469482,0.2578828334808349,5.508192539215088,0.3968091562344142,0.3926060196720406,0.3660815471015795,0.3928842836845057,147,0.0707013607025146,2.0,0.1442277431488037,0.2557997703552246,5.410158157348633,0.3081254981168198,0.3088077706420546,0.3088077706420546,0.3075870012460227
S124109,2.0,25,49,0.0046284198760986,2.6,0.0156991481781005,0.0523386001586914,0.5741138458251953,0.5469674358615071,0.5752642798297655,0.5686907354396813,0.5506568077768647,49,0.0049006938934326,2.0,0.0157303810119628,0.0533304214477539,0.7074165344238281,0.4055916420849777,0.4055473268862717,0.4055473268862717,0.397149181207414
