file_name,number_leaves,number_nodes,execution_time_kolo,[RLABL]-FFAC_best_correction_factor,[RLABL]-execution_time_radial_layout,[RLABL]-execution_time_ANBC,[RLABL]-execution_time_FFAC,[RLABL]-radial_layout_unordered_tree_stress,[RLABL]-radial_layout_ordered_tree_stress,[RLABL]-radial_layout_ordered_tree_FFAC_stress,[RLABL]-radial_layout_ordered_tree_ANBC_stress,[RLALC]-nodes_number,[RLALC]-execution_time_kolo,[RLALC]-FFAC_best_correction_factor,[RLALC]-execution_time_radial_layout,[RLALC]-execution_time_ANBC,[RLALC]-execution_time_FFAC,[RLALC]-radial_layout_unordered_tree_stress,[RLALC]-radial_layout_ordered_tree_stress,[RLALC]-radial_layout_ordered_tree_FFAC_stress,[RLALC]-radial_layout_ordered_tree_ANBC_stress
S113130,29,16,0.0021550655364990234,1.9999999999999998,0.003462076187133789,0.06637048721313477,0.2065575122833252,0.3514049530563658,0.3696892288826548,0.36968922888265493,0.37182923468919926,16,0.0023429393768310547,1.9999999999999998,0.003476381301879883,0.07143211364746094,0.226593017578125,0.21354862003172095,0.2101664285458737,0.21016642854587358,0.21164373585511337
S143871,97,49,0.022925376892089844,1.9999999999999998,0.03267383575439453,0.1054847240447998,1.199284315109253,0.4577675437493616,0.42193005367933506,0.4219300536793351,0.4235634712289332,49,0.023977994918823242,1.9999999999999998,0.0335390567779541,0.10720443725585938,1.2429358959197998,0.37999050016889047,0.3812498883956063,0.3812498883956063,0.38083019664423085
S129757,132,67,0.14183807373046875,2.1999999999999997,0.06755900382995605,0.17443299293518066,2.4202089309692383,0.5164968022136552,0.5386652574455278,0.535052669422765,0.5369917985267905,67,0.14064550399780273,1.9999999999999998,0.06107592582702637,0.18866467475891113,2.2540650367736816,0.47466929658452467,0.4800892695170741,0.4800892695170741,0.47866678701246207
S119741,165,83,0.10468292236328125,3.1999999999999993,0.10995602607727051,0.28054332733154297,3.9624133110046387,0.7760000382701002,0.7429097271381089,0.727456719052154,0.7404226373433452,83,0.10264992713928223,1.9999999999999998,0.10487651824951172,0.22969841957092285,4.065181255340576,0.5050280340737284,0.5061239425247612,0.5061239425247611,0.5049989984514712
S140100,13,7,0.0006031990051269531,1.2,0.0008101463317871094,0.013119935989379883,0.02282238006591797,0.3688502631253052,0.38415284671700994,0.343891345379221,0.370216178089342,7,0.0009813308715820312,1.9999999999999998,0.0012743473052978516,0.019106149673461914,0.03645181655883789,0.15291597349653957,0.14878250496338843,0.14878250496338816,0.157204146701034
S138603,64,37,0.032036542892456055,1.9999999999999998,0.016970157623291016,0.0728292465209961,0.5585381984710693,0.6916672774436358,0.7363623988332682,0.7363623988332682,0.7367404146898128,37,0.029773473739624023,1.9999999999999998,0.0173187255859375,0.07302045822143555,0.6254525184631348,0.33737196338535247,0.3253394439697149,0.3253394439697153,0.3230440665050773
S124106,67,34,0.010236024856567383,1.9999999999999998,0.01653122901916504,0.07413268089294434,0.6671028137207031,0.5152671496929636,0.5482777692014037,0.5482777692014037,0.5386374337590297,34,0.009716987609863281,1.9999999999999998,0.016281843185424805,0.0670924186706543,0.5632114410400391,0.42606973177968077,0.42534369389134685,0.42534369389134685,0.4209766537848862
S113310,211,106,0.18850493431091309,2.1999999999999997,0.17698407173156738,0.37052178382873535,6.748939514160156,0.7362143887865927,0.7269669386025865,0.7250581877680992,0.7268250420652342,106,0.20836591720581055,1.9999999999999998,0.18795275688171387,0.3293724060058594,6.017232894897461,0.5121907173767734,0.5120482212098207,0.5120482212098207,0.5116739840157445
S114840,425,213,1.7270379066467285,1.9999999999999998,0.7439093589782715,1.1540250778198242,27.760278940200806,0.590223211186211,0.5952052046780085,0.5952052046780085,0.595044535400895,213,1.4742283821105957,1.9999999999999998,0.7353160381317139,1.0704991817474365,28.260682344436646,0.5811888551897684,0.5804656187475942,0.5804656187475942,0.5802867012209069
S1241022,67,34,0.009866952896118164,1.7999999999999998,0.01656627655029297,0.07065510749816895,0.5784504413604736,0.5992513238593767,0.6124438288696344,0.6105517814317393,0.607479151829816,34,0.009144783020019531,1.9999999999999998,0.015490055084228516,0.06532645225524902,0.5400304794311523,0.4429141629812363,0.44269372355914416,0.44269372355914405,0.43805050540538126
S139600,64,33,0.02331852912902832,1.9999999999999998,0.016255855560302734,0.08230018615722656,0.8153271675109863,0.43746267445543097,0.43888110047102097,0.43888110047102097,0.4372113332213012,33,0.026706457138061523,1.9999999999999998,0.021652936935424805,0.0809018611907959,0.6557879447937012,0.4126600529827715,0.4124670339557803,0.4124670339557802,0.4114143610293035
S123064,199,100,0.2625446319580078,2.1999999999999997,0.20464634895324707,0.3063380718231201,5.903697729110718,0.5730785763761762,0.5748589334494664,0.5738846857480655,0.5756061673069508,100,0.16319513320922852,1.9999999999999998,0.15423822402954102,0.3024611473083496,5.84601616859436,0.49135338024818115,0.490926712498104,0.490926712498104,0.4907610219166377
S120050,115,58,0.035370826721191406,3.999999999999999,0.057729482650756836,0.16248464584350586,2.2086780071258545,0.4384840218022,0.5342888628748524,0.49953306673972714,0.5427486327226922,58,0.035781145095825195,1.9999999999999998,0.047293663024902344,0.13567709922790527,1.6822681427001953,0.2924345377386696,0.29041109557479305,0.2904110955747931,0.28977659549117296
S148680,265,133,0.3617703914642334,1.7999999999999998,0.28218555450439453,0.4570629596710205,9.62994647026062,0.6512352614497571,0.642251881432593,0.6382964782969104,0.6419514630372505,133,0.46826910972595215,1.9999999999999998,0.3091719150543213,0.5675222873687744,11.159227132797241,0.5231193270147668,0.5223446441598167,0.5223446441598169,0.5220337721795988
S133490,148,77,0.08609271049499512,1.7999999999999998,0.08922243118286133,0.22469520568847656,3.737545967102051,0.49893449718288624,0.4825280862080326,0.481347692433178,0.48074859985877894,77,0.12807655334472656,1.9999999999999998,0.11005020141601562,0.23681998252868652,3.0650136470794678,0.44786848516582983,0.43793822118330766,0.43793822118330766,0.4372015623304951
S117440,189,97,0.1607198715209961,4.799999999999999,0.13592243194580078,0.2941124439239502,4.782377243041992,0.8220869670988161,0.8358387185549377,0.7860439727315954,0.8367031275590391,97,0.17629027366638184,1.9999999999999998,0.145890474319458,0.30315327644348145,5.600663900375366,0.47293589097715427,0.4712636733308311,0.4712636733308308,0.47090639971532594
