file_name,number_leaves,nodes_number,execution_time_kolo,[BRANCH-LENGTH]-unordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_fixed_angle_correction_stress,[BRANCH-LENGTH]-ordered_tree_adj_based_corrections_stress,[LEAF-COUNT]-nodes_number,[LEAF-COUNT]-execution_time_kolo,[LEAF-COUNT]-unordered_tree_stress,[LEAF-COUNT]-ordered_tree_stress,[LEAF-COUNT]-ordered_tree_fixed_angle_correction_stress,[LEAF-COUNT]-ordered_tree_adj_based_corrections_stress
S11790,84,167,0.1607825756072998,-0.6294790257793487,-0.5936074220024361,-0.5898569146738111,-0.5945238943500639,167,0.1455078125,-0.3379576856738382,-0.33737860060793556,-0.33737860060793556,-0.3375377705273026
S11283,276,551,2.6972904205322266,-0.69360530953504,-0.6945193253918156,-0.6945193253918156,-0.695183839021341,551,2.7146992683410645,-0.6368909936933335,-0.6368765178264789,-0.6368765178264789,-0.6370589195555455
S11469,110,219,0.19709014892578125,-0.4539921485979404,-0.44615437603834224,-0.44615437603834224,-0.4465233468015491,219,0.1916825771331787,-0.4423578795141348,-0.43958108141202307,-0.43958108141202307,-0.4397795316933901
S11485,30,59,0.0059664249420166016,-0.5805528425750872,-0.5763384563304266,-0.5763384563304266,-0.587589924326404,59,0.005495548248291016,-0.3842797231091486,-0.3838493494897938,-0.3838493494897938,-0.3849960690677535
S13532,30,58,0.02212214469909668,-0.7725265340679299,-0.7610636763317745,-0.729527515677481,-0.7616291587442389,58,0.01761603355407715,-0.3858781159648437,-0.38638806698092504,-0.38638806698092504,-0.3863475098056705
S11331,106,211,0.17280840873718262,-0.7370320515410388,-0.72778460134942,-0.7272783891413902,-0.726987916261194,211,0.16433286666870117,-0.5121907173767725,-0.5120482212098211,-0.5120482212098211,-0.5118748780101652
S11298,60,115,0.11350250244140625,-0.44237615642924266,-0.43143939281402827,-0.43143939281402827,-0.4322170783088575,115,0.11741256713867188,-0.4253347959708549,-0.4125676751636474,-0.4125676751636474,-0.413093453022512
S11410,50,99,0.025074005126953125,-0.6575520925611478,-0.6103070381266743,-0.6034239356633521,-0.6132650220280705,99,0.0203399658203125,-0.487838436828927,-0.48719295256981954,-0.48719295256981954,-0.4878559077984321
S11709,19,37,0.002100706100463867,-0.3987466856610675,-0.41156105282908945,-0.41142527142708896,-0.4106582348492179,37,0.0017352104187011719,-0.32589134012431425,-0.32228741132388994,-0.32228741132388994,-0.32647845645887247
S12310,50,99,0.025293588638305664,-0.4877906400740232,-0.48540065201567967,-0.48540065201567967,-0.48692656265772954,99,0.02087092399597168,-0.4784997077722059,-0.4760716305090176,-0.4760716305090176,-0.4766231132271664
S11359,45,89,0.015543699264526367,-0.47604314711114826,-0.46230985084468074,-0.46230985084468074,-0.4608775955142712,89,0.01575779914855957,-0.45626538369818037,-0.4499901875293178,-0.4499901875293178,-0.4497365459833935
S13808,110,219,0.21492910385131836,-0.7592670882168041,-0.7725366487969986,-0.7725366487969986,-0.775294804688596,219,0.1904926300048828,-0.5589281871962365,-0.5585259841642327,-0.5585259841642327,-0.558902709121189
S11087,226,450,4.57145881652832,-0.5686639851565535,-0.5605791551131589,-0.5605791551131589,-0.5606523426712315,450,4.355785131454468,-0.5134472013482464,-0.518133256358421,-0.518133256358421,-0.5181580137546523
S11564,45,86,0.020854711532592773,-0.5762246166261669,-0.5501690913903065,-0.5383747621921183,-0.551916116528442,86,0.01811385154724121,-0.39302728831792616,-0.391538890742849,-0.391538890742849,-0.3921513236146781
S13553,102,203,0.15777325630187988,-0.6957354081123399,-0.6904949111136353,-0.6904949111136353,-0.6923625431381802,203,0.14066314697265625,-0.591902999187085,-0.5912090111472569,-0.5912090111472569,-0.5916640429113762
S12306,99,197,0.16516971588134766,-0.7633838025772534,-0.7485436976986841,-0.7254797315594521,-0.7440019141860589,197,0.13922572135925293,-0.43290664598787587,-0.4336659230976295,-0.4336659230976295,-0.4334707936589048
S14010,7,13,0.00030159950256347656,-0.368850263125305,-0.38415284671700983,-0.34964003986011916,-0.3619073835373016,13,0.0005235671997070312,-0.15291597349653954,-0.14878250496338818,-0.14878250496338818,-0.15806645392055435
S11472,54,107,0.030360698699951172,-1.2675874383389067,-1.2799830302980137,-1.2519311327549028,-1.2836534807297728,107,0.024477720260620117,-0.3846847510110367,-0.3826190962771149,-0.3826190962771149,-0.3830029686311546
S11408,40,74,0.04398179054260254,-0.4732662272710297,-0.4783310755932364,-0.47683432980978585,-0.4816298445658494,74,0.015472650527954102,-0.3629177016359183,-0.36012971724266246,-0.36012971724266246,-0.36117317077915484
S13616,19,36,0.006697177886962891,-1.2976642904071514,-1.2067170325320529,-1.2067170325320529,-1.2308935622696078,36,0.0057163238525390625,-0.3117324021645399,-0.31028898670609456,-0.31028898670609456,-0.3111316120511033
S13664,90,179,0.1111602783203125,-0.502840117296404,-0.5090118138595132,-0.5090118138595132,-0.5101719041745848,179,0.1055152416229248,-0.4678817955923328,-0.46385008227677144,-0.46385008227677144,-0.4642349675128976
S13668,38,75,0.01216888427734375,-0.7217506590950301,-0.6595220201644288,-0.6549217825689249,-0.6601781404062562,75,0.010365009307861328,-0.36296352782570096,-0.35194472003600885,-0.35194472003600885,-0.35312999031197834
S11508,55,108,0.08566856384277344,-0.5750611763057857,-0.5745215794896398,-0.5551726214815317,-0.5717597386828903,108,0.07638072967529297,-0.39740205920031724,-0.39761924082939004,-0.39761924082939004,-0.3974270007226655
S11088,75,146,0.19508576393127441,-0.49873734328333236,-0.5082583032585439,-0.5080658348375324,-0.5085470599979249,146,0.20575332641601562,-0.4444122204880709,-0.4445167306763577,-0.4445167306763577,-0.4449048495694097
S12224,344,687,5.168044567108154,-0.6123935048482844,-0.6181540047562449,-0.6181540047562449,-0.6182332307636893,687,5.124168157577515,-0.5948117174680654,-0.5938200114744447,-0.5938200114744447,-0.5938898288516169
S11744,97,189,0.16289043426513672,-0.8220869670988276,-0.8358387185549375,-0.7837487981557177,-0.8378913150846241,189,0.18229007720947266,-0.4729358909771455,-0.4712636733308173,-0.4712636733308173,-0.4712706759215014
S11784,17,31,0.006781101226806641,-0.38220053209374577,-0.37412609586361195,-0.37412609586361195,-0.3780751338984232,31,0.0020780563354492188,-0.38220053209374577,-0.37412609586361206,-0.37412609586361206,-0.37807513389842323
S11122,22,41,0.004129648208618164,-0.87261013329287,-0.9332626395579308,-0.9332626395579308,-0.9474382338788744,41,0.005126237869262695,-0.33733272870287717,-0.3319912033625217,-0.3319912033625217,-0.33387253573814285
S11084,32,63,0.013240575790405273,-0.5698881148499191,-0.5682081296541797,-0.5682081296541797,-0.5669770161097766,63,0.006714344024658203,-0.3010525288007893,-0.3016254033895132,-0.3016254033895132,-0.30228899433702994
S13583,22,43,0.0023093223571777344,,,,,43,0.0030584335327148438,,,,
S12334,45,89,0.019575834274291992,-0.44528172059457266,-0.44300552333755283,-0.44300552333755283,-0.4454740372959037,89,0.015298128128051758,-0.41886883048193646,-0.41745987327906686,-0.41745987327906686,-0.418581673151729
S11435,74,146,0.20054984092712402,-1.767869406851605,-1.7670731208172208,-1.7670731208172208,-1.7490519468277246,146,0.17049956321716309,-0.3421738955034779,-0.34663564527025553,-0.34663564527025553,-0.3469131230279787
