file_name,avg_branch_factor,number_leaves,nodes_number,execution_time_kolo,[BRANCH-LENGTH]-ffac_best_correction_factor,[BRANCH-LENGTH]-execution_time_radial_layout,[BRANCH-LENGTH]-execution_time_corrections_adj_based,[BRANCH-LENGTH]-execution_time_corrections_fixed_based,[BRANCH-LENGTH]-unordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_fixed_angle_correction_stress,[BRANCH-LENGTH]-ordered_tree_adj_based_corrections_stress,[LEAF-COUNT]-nodes_number,[LEAF-COUNT]-execution_time_kolo,[LEAF-COUNT]-ffac_best_correction_factor,[LEAF-COUNT]-execution_time_radial_layout,[LEAF-COUNT]-execution_time_corrections_adj_based,[LEAF-COUNT]-execution_time_corrections_fixed_based,[LEAF-COUNT]-unordered_tree_stress,[LEAF-COUNT]-ordered_tree_stress,[LEAF-COUNT]-ordered_tree_fixed_angle_correction_stress,[LEAF-COUNT]-ordered_tree_adj_based_corrections_stress
S123065,2.0,84,167,0.0983147621154785,2.2,0.1033775806427002,0.2260885238647461,3.828826904296875,0.4787442165054349,0.4726771959779416,0.4696627169348527,0.4722564873778558,167,0.0976154804229736,2.0,0.1062879562377929,0.2424352169036865,3.888314485549927,0.4461323559990446,0.4378262168603269,0.4378262168603269,0.4373813758744277
S143870,2.0,22,43,0.0034568309783935,2.0,0.0062367916107177,0.0373837947845459,0.2222225666046142,0.6495411989331807,0.4771816664393809,0.4771816664393809,0.4750308337741632,43,0.0034255981445312,2.0,0.0064468383789062,0.0383288860321044,0.2175350189208984,0.3102958615566545,0.3083984067756434,0.3083984067756434,0.3071872115376151
S124937,2.0,47,93,0.0216486454010009,2.2,0.0305233001708984,0.1044411659240722,1.0878520011901855,0.3422772349912383,0.3377285612013094,0.336400637124677,0.3405271176108569,93,0.0242035388946533,2.2,0.0334320068359375,0.109490156173706,1.2156987190246582,0.2642191394857485,0.2646281089555981,0.2633819018215644,0.263562715501704
S107260,2.0,10,19,0.0008587837219238,52.80000000000004,0.0013487339019775,0.0150032043457031,0.0406470298767089,0.0224347867360233,0.0224347867360233,3.072588671488809e-05,0.0169850321139454,19,0.0008609294891357,2.6,0.0014612674713134,0.01601243019104,0.0422549247741699,0.0354656660539457,0.0354656660539457,0.0295033011745618,0.0335272528536316
S148727,2.0,111,221,0.2134835720062255,2.3999999999999995,0.17753267288208,0.3379414081573486,6.663461923599243,0.6190575495572034,0.618465571650789,0.6139055131909927,0.6176565542560672,221,0.2208228111267089,2.0,0.17976975440979,0.341733455657959,6.49881386756897,0.5006113457684511,0.5007791030485814,0.5007791030485813,0.5000615401372589
S124935,2.0,36,71,0.0118241310119628,2.3999999999999995,0.0169360637664794,0.0669572353363037,0.5946059226989746,0.3397765361558272,0.3380253347529967,0.3300784230088711,0.3393454132889751,71,0.012131929397583,2.2,0.0186676979064941,0.0795903205871582,0.6841955184936523,0.3101435976424532,0.3105535003933115,0.3098353773058649,0.3101011322223566
S1241014,2.0,34,67,0.0095701217651367,2.2,0.0150129795074462,0.0634298324584961,0.5248618125915527,0.7092719629906898,0.7078548308832021,0.7072562189490545,0.694348100299154,67,0.0093448162078857,2.0,0.0155537128448486,0.0661039352416992,0.54921555519104,0.432664130682534,0.4332401346862927,0.4332401346862927,0.4278559252553943
S138640,2.0,32,63,0.0077865123748779,2.0,0.0126657485961914,0.0559461116790771,0.4538977146148681,0.9565704987333232,0.8867201242280554,0.8867201242280554,0.8865850888984275,63,0.0103960037231445,2.0,0.0153498649597167,0.0741035938262939,0.5195691585540771,0.3900343388332459,0.3785893348991295,0.3785893348991296,0.3742018192316277
S153880,2.0,84,167,0.142251968383789,2.6,0.0992136001586914,0.2167220115661621,3.467562437057495,0.5195097705879931,0.5217374084235695,0.5092116457519623,0.521361953281763,167,0.1339428424835205,2.0,0.0951478481292724,0.2078080177307129,3.346141576766968,0.457483299947203,0.4565567758885435,0.4565567758885435,0.4558736576012264
S127420,2.0,10,19,0.0008602142333984,2.0,0.0013837814331054,0.0152075290679931,0.0428862571716308,0.3539064928269407,0.3627653796872239,0.3627653796872239,0.3690842475741643,19,0.0008237361907958,2.0,0.0013356208801269,0.0159327983856201,0.0445284843444824,0.2339907882450713,0.2435446662032263,0.2435446662032264,0.2542471638498806
