file_name,number_leaves,nodes_number,execution_time_kolo,[BRANCH-LENGTH]-ffac_best_correction_factor,[BRANCH-LENGTH]-execution_time_radial_layout,[BRANCH-LENGTH]-execution_time_corrections_adj_based,[BRANCH-LENGTH]-execution_time_corrections_fixed_based,[BRANCH-LENGTH]-unordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_stress,[BRANCH-LENGTH]-ordered_tree_fixed_angle_correction_stress,[BRANCH-LENGTH]-ordered_tree_adj_based_corrections_stress,[LEAF-COUNT]-nodes_number,[LEAF-COUNT]-execution_time_kolo,[LEAF-COUNT]-ffac_best_correction_factor,[LEAF-COUNT]-execution_time_radial_layout,[LEAF-COUNT]-execution_time_corrections_adj_based,[LEAF-COUNT]-execution_time_corrections_fixed_based,[LEAF-COUNT]-unordered_tree_stress,[LEAF-COUNT]-ordered_tree_stress,[LEAF-COUNT]-ordered_tree_fixed_angle_correction_stress,[LEAF-COUNT]-ordered_tree_adj_based_corrections_stress
S143710,15,29,0.0016722679138183594,1.9999999999999998,0.0029914379119873047,0.024029254913330078,0.09491324424743652,0.43210095249963004,0.45767880201550937,0.45767880201550937,0.4342053367794254,29,0.0017251968383789062,1.9999999999999998,0.003144979476928711,0.02463555335998535,0.09799885749816895,0.17157813088992505,0.16710058694769755,0.16710058694769744,0.16637384823868637
S142831,391,781,8.441654920578003,3.1999999999999993,2.9061734676361084,2.917543888092041,92.88823366165161,0.6821440949323084,0.6948451039782658,0.6709607613387399,0.6948295066120489,781,8.212937831878662,2.1999999999999997,2.9280145168304443,3.1338798999786377,96.8616316318512,0.49230163402987226,0.4972003916123065,0.49717277650186725,0.49683548270864886
S111261,14,27,0.001325845718383789,50.0,0.002368927001953125,0.020794153213500977,0.07945942878723145,0.7405271813004496,0.7405271813004498,0.7113011002775894,0.7139876040803408,27,0.001680612564086914,1.9999999999999998,0.003162860870361328,0.029174327850341797,0.10858035087585449,0.21369888702666956,0.21327994132771316,0.21327994132771316,0.21041248790423628
S151470,53,105,0.02893376350402832,52.80000000000004,0.038132429122924805,0.11541128158569336,1.3371641635894775,0.9892718116493318,0.9712444783643078,0.9400542990488719,0.9646583095864995,105,0.02682018280029297,1.9999999999999998,0.03701066970825195,0.10696911811828613,1.2659668922424316,0.28597241736212453,0.2855039665607452,0.28550396656074534,0.28455987463962235
S105200,298,595,3.707796573638916,2.1999999999999997,1.3530209064483643,1.7980804443359375,55.29952359199524,0.6988111919156765,0.7090807772654788,0.707035848227304,0.7079406580000281,595,4.028543710708618,1.9999999999999998,1.6297929286956787,2.106718063354492,57.53055548667908,0.6303459331115981,0.6313774019812461,0.6313774019812461,0.6305800693163338
S149710,62,122,0.10641741752624512,1.9999999999999998,0.049813032150268555,0.13426518440246582,1.7737245559692383,0.5468320748328407,0.506119221958569,0.5061192219585691,0.5066342653731711,122,0.10273957252502441,1.9999999999999998,0.04889988899230957,0.13453197479248047,1.7257354259490967,0.4153533996589715,0.4000965061349174,0.4000965061349176,0.39895208490798756
S127303,71,141,0.06485962867736816,2.1999999999999997,0.06993460655212402,0.1710984706878662,2.571091890335083,0.488802804773714,0.496517681196748,0.49475237422350976,0.49652698867280226,141,0.0588686466217041,1.9999999999999998,0.06844758987426758,0.1751084327697754,2.531358242034912,0.4464724845569676,0.43950715724144473,0.4395071572414445,0.43934139184583393
S115640,45,86,0.0200350284576416,2.9999999999999996,0.02619338035583496,0.0830984115600586,0.813910961151123,0.521123175938414,0.5376277986022933,0.5187232863975585,0.5361034821486741,86,0.024058818817138672,1.9999999999999998,0.0287015438079834,0.09873104095458984,0.9538412094116211,0.3930272883179267,0.3915388907428492,0.39153889074284937,0.3904403188468131
S159552,31,61,0.007406473159790039,1.4,0.012300252914428711,0.05460238456726074,0.42122483253479004,1.087891463403589,1.1031379656749996,1.0869801494544111,1.1038811951847591,61,0.006999492645263672,1.9999999999999998,0.012110710144042969,0.05491971969604492,0.41249942779541016,0.337762492697196,0.3409331346275381,0.3409331346275381,0.3369853486893871
S114080,40,74,0.01515650749206543,2.3999999999999995,0.01715826988220215,0.0684967041015625,0.6335649490356445,0.5471321690329713,0.5275288177492604,0.5218092033760028,0.5263933678727403,74,0.015075445175170898,1.9999999999999998,0.018512964248657227,0.07443690299987793,0.658623218536377,0.3629177016359182,0.3601297172426633,0.36012971724266346,0.35744036101977666
S109439,31,60,0.0268552303314209,52.80000000000004,0.014063358306884766,0.06952452659606934,0.5280346870422363,0.5006311363231828,0.5140632679515303,0.4661496302721181,0.5118984460808107,60,0.021054983139038086,2.1999999999999997,0.012605428695678711,0.060072898864746094,0.45592474937438965,0.1863127051370002,0.16622999532410251,0.16590763140638384,0.16669168862934974
S111263,20,39,0.0027418136596679688,4.799999999999999,0.004826068878173828,0.031235218048095703,0.16306567192077637,0.7348593009395334,0.6852334651602905,0.6711496330295644,0.6764177898721093,39,0.009381771087646484,1.9999999999999998,0.016951322555541992,0.047020673751831055,0.1847231388092041,0.19288728679796108,0.19157853525302973,0.19157853525302973,0.190490275792801
S142830,326,651,4.904442310333252,1.5999999999999999,1.6120622158050537,2.047398567199707,61.3276309967041,0.762868673868705,0.8032398107309984,0.7983186934169831,0.8031421645387723,651,5.200217962265015,1.7999999999999998,1.6357641220092773,2.270564317703247,68.96715235710144,0.5175476084357101,0.518129417389911,0.5173422130899609,0.5177184661571017
S104010,43,84,0.04081416130065918,2.1999999999999997,0.026581525802612305,0.0843963623046875,0.8879907131195068,0.7563332750049662,0.8585178463486792,0.8582680344741558,0.8584306006356475,84,0.051065921783447266,1.9999999999999998,0.03330278396606445,0.0932168960571289,1.1399385929107666,0.35368983375603363,0.35432468152851343,0.3543246815285134,0.3536544871689344
S114350,74,146,0.17900896072387695,2.3999999999999995,0.07296037673950195,0.17575383186340332,2.5168216228485107,1.4122252488244917,1.4096824621280517,1.4094398203389245,1.3966581062304644,146,0.17438054084777832,1.9999999999999998,0.07599568367004395,0.1867659091949463,2.8063535690307617,0.3246477884691932,0.32904850167751937,0.32904850167751937,0.32870799829589353
S124310,34,67,0.009537935256958008,1.9999999999999998,0.015134572982788086,0.06397676467895508,0.5190656185150146,0.5174496736793619,0.5147582094562346,0.5147582094562346,0.5128775629032943,67,0.010205984115600586,1.9999999999999998,0.015999555587768555,0.06625580787658691,0.5484213829040527,0.3733876252834555,0.3739493110435347,0.37394931104353474,0.37180292672914966
S121590,48,92,0.028979063034057617,1.5999999999999999,0.031418561935424805,0.10446286201477051,1.0765736103057861,0.761469066769807,0.7612580258804039,0.7564751449417443,0.7572740842842672,92,0.02667546272277832,1.9999999999999998,0.02980947494506836,0.09662413597106934,1.043518304824829,0.37735361821040453,0.37398221578739865,0.3739822157873986,0.372994872804373
S123340,45,89,0.07032632827758789,1.9999999999999998,0.02847599983215332,0.09307599067687988,0.9379327297210693,0.4409983967165026,0.4338598407198864,0.43385984071988637,0.4329510286290848,89,0.09519124031066895,1.9999999999999998,0.0312345027923584,0.09664320945739746,1.0008623600006104,0.41886883048193574,0.41745987327906653,0.41745987327906664,0.4163834717762513
S112742,156,310,1.434220790863037,3.1999999999999993,0.3163883686065674,0.5238065719604492,11.469806432723999,1.021538595968025,1.010561107964986,0.9993679263107335,1.0107690096884572,310,1.4438207149505615,1.9999999999999998,0.3426852226257324,0.5637369155883789,12.37669062614441,0.603194147225834,0.6044925931192837,0.6044925931192837,0.6041327103496281
S149122,156,311,0.6248281002044678,2.1999999999999997,0.3440859317779541,0.5881381034851074,12.80595588684082,0.7194705175463125,0.7595309245192337,0.7588523549469246,0.7594283277576643,311,0.5665628910064697,1.9999999999999998,0.33129239082336426,0.5532486438751221,12.19007158279419,0.544087259807623,0.5430240543785823,0.5430240543785823,0.5426079146901626
S126801,30,59,0.006360292434692383,2.1999999999999997,0.011061668395996094,0.05275392532348633,0.410442590713501,0.5424759960759171,0.5395539468231101,0.536884848880033,0.5389965264877734,59,0.006251335144042969,1.9999999999999998,0.011197566986083984,0.05352044105529785,0.386810302734375,0.3842797231091501,0.38384934948979327,0.38384934948979327,0.3821855225721061
S127302,58,114,0.03891634941101074,2.1999999999999997,0.047029972076416016,0.1324596405029297,2.033733367919922,0.47332328565700743,0.47348518404576734,0.471998376707692,0.47170902403594195,114,0.03443169593811035,1.9999999999999998,0.04678010940551758,0.14586591720581055,1.850278377532959,0.44766194284039934,0.4450162916174202,0.4450162916174202,0.44371451922911037
S109680,21,39,0.00426483154296875,2.1999999999999997,0.005209684371948242,0.034567832946777344,0.17151737213134766,0.3885050125034676,0.3857749163642126,0.38448631252042953,0.38474471138533123,39,0.003983974456787109,1.9999999999999998,0.005258321762084961,0.03458833694458008,0.1717379093170166,0.3586107799008935,0.35831167178318074,0.35831167178318074,0.3603795154648359
S152771,24,47,0.004235029220581055,4.199999999999999,0.0073566436767578125,0.04051375389099121,0.2481553554534912,0.61973008003303,0.9269354370635124,0.8479409156550092,0.9162633501459978,47,0.0040361881256103516,1.7999999999999998,0.007088899612426758,0.040135860443115234,0.2385118007659912,0.3281027092798948,0.32837733807525016,0.3268199209644651,0.32038175471983277
S109435,44,86,0.04204845428466797,1.2,0.025072097778320312,0.07869887351989746,0.8532230854034424,0.7668442224244884,0.7931740763832703,0.7851048011271236,0.7960031529696328,86,0.04186201095581055,1.7999999999999998,0.02537703514099121,0.09176182746887207,0.9754917621612549,0.261022076792939,0.2580581603752569,0.256642208281975,0.25752469244359266
S124930,56,111,0.03301239013671875,1.7999999999999998,0.0444793701171875,0.12958312034606934,1.4983906745910645,0.47014355193220864,0.471189331145603,0.4704827215431256,0.47158175762288324,111,0.03308558464050293,1.9999999999999998,0.044846296310424805,0.19073843955993652,1.944451093673706,0.38624784387352695,0.3841885821748855,0.3841885821748855,0.38347261557637174
S1249311,74,147,0.08014464378356934,3.5999999999999996,0.07546186447143555,0.17706942558288574,2.6900649070739746,0.3968091562344118,0.39260601967203823,0.3660815471015788,0.39288428368450407,147,0.09861469268798828,1.9999999999999998,0.08196806907653809,0.19177794456481934,3.280374765396118,0.3081254981168216,0.3088077706420566,0.30880777064205656,0.3075870012460253
S124109,25,49,0.0044403076171875,2.5999999999999996,0.007828235626220703,0.04282426834106445,0.27108144760131836,0.5469674358615073,0.5752642798297651,0.5686907354396797,0.5506568077768638,49,0.0049822330474853516,1.9999999999999998,0.009268045425415039,0.04630446434020996,0.2940819263458252,0.4055916420849772,0.405547326886271,0.405547326886271,0.3971491812074125
S129190,29,53,0.038342952728271484,1.7999999999999998,0.010484933853149414,0.06912732124328613,0.3503444194793701,0.3843375924404172,0.4221758700092764,0.42035068071320814,0.42328221234567837,53,0.03427433967590332,1.9999999999999998,0.009926557540893555,0.0615234375,0.3374307155609131,0.33426437551051796,0.3296785242999521,0.3296785242999521,0.32704401880753664
S131840,143,285,0.5288972854614258,2.1999999999999997,0.3214700222015381,0.5475411415100098,10.551366090774536,0.5389410883018432,0.5249292781069669,0.522841496067804,0.5249597327957065,285,0.4952430725097656,1.9999999999999998,0.320770263671875,0.49091029167175293,10.80740213394165,0.4595608560432774,0.4545959488705958,0.45459594887059607,0.4544063613018728
